video_id,title,published,url,views,likes,comments,duration_sec,duration_min
2I9Qk0sB68o,I Spilled Liquid on my PC...now what?,2026-01-27T21:35:48Z,https://youtube.com/watch?v=2I9Qk0sB68o,15035107,424241,4716,53,0.9
F-ZM6yj9zKw,first person to say hi gets free PC,2025-07-12T17:11:47Z,https://youtube.com/watch?v=F-ZM6yj9zKw,9270617,310874,1881,17,0.3
WP3LKBHL8vQ,Correct Way to Apply Thermal Paste,2025-11-14T18:27:41Z,https://youtube.com/watch?v=WP3LKBHL8vQ,8277608,153053,1057,34,0.6
rDk_LsON3CM,Linus Torvalds Accidentally Slams Elon Musk,2025-12-03T18:02:39Z,https://youtube.com/watch?v=rDk_LsON3CM,7285351,180384,4555,24,0.4
mfv0V1SxbNA,Building the PERFECT Linux PC with Linus Torvalds,2025-11-30T18:00:02Z,https://youtube.com/watch?v=mfv0V1SxbNA,5658018,324602,20551,3224,53.7
g3FkuZNSGkw,Valve’s New Console and Controller - STEAM Machine & STEAM Controller (2026) First Look,2025-11-13T13:54:48Z,https://youtube.com/watch?v=g3FkuZNSGkw,5144012,175034,11869,844,14.1
Gf30o7Tx7uo,You're Wasting Money If You Own This PC Accessory,2025-11-07T20:21:29Z,https://youtube.com/watch?v=Gf30o7Tx7uo,5090610,92730,3523,35,0.6
F1EmHSs2vps,1 Subscriber = $1 from Linus’ Wallet,2025-11-09T17:08:10Z,https://youtube.com/watch?v=F1EmHSs2vps,4900378,144189,1084,20,0.3
M0ZmR6UU_8k,Apple’s not getting my money - DIY Macbook Storage Upgrade,2025-06-28T16:56:05Z,https://youtube.com/watch?v=M0ZmR6UU_8k,4314545,111421,5671,1953,32.5
ckEsA_GMPRU,Linus Torvalds Broke on Video,2025-12-14T18:51:05Z,https://youtube.com/watch?v=ckEsA_GMPRU,4259436,78820,620,18,0.3
ADSNLvZ67tk,"Building a $12,000 PC in a Random Asian Tech Mall",2025-05-31T16:59:47Z,https://youtube.com/watch?v=ADSNLvZ67tk,4221312,107408,3808,1083,18.1
5kxZApLpFCc,I bought LTT for $1,2025-08-01T18:07:30Z,https://youtube.com/watch?v=5kxZApLpFCc,4097657,100705,484,41,0.7
dU3ru09HTng,Every Other VR Headset is Obsolete Now - Steam Frame First Look,2025-11-12T17:59:59Z,https://youtube.com/watch?v=dU3ru09HTng,4014307,169767,11098,935,15.6
