video_id,title,published,url,views,likes,comments,duration_sec,duration_min
FNnK1J-BdiM,The World's Largest iPhone Has a Secret...,2023-06-22T04:03:29Z,https://youtube.com/watch?v=FNnK1J-BdiM,43069871,1908796,7858,56,0.9
cShtHM7cFR0,This Airless Basketball is 3D Printed!,2024-02-19T18:23:36Z,https://youtube.com/watch?v=cShtHM7cFR0,30851771,1220878,15156,61,1.0
dtp6b76pMak,Using Apple Vision Pro: What It’s Actually Like!,2024-01-31T14:52:28Z,https://youtube.com/watch?v=dtp6b76pMak,28283759,566747,32229,2239,37.3
GQkkHtBD1BM,Taking 1000 Steps  In Every Smartwatch!,2024-01-19T23:44:36Z,https://youtube.com/watch?v=GQkkHtBD1BM,26789027,894865,5777,60,1.0
acaAW3p5Tqw,USB-C ALL the things!,2025-06-03T19:34:15Z,https://youtube.com/watch?v=acaAW3p5Tqw,25733802,701877,7800,25,0.4
PTd98UnJnnU,This TECH Knife is Insane!,2026-01-16T21:56:34Z,https://youtube.com/watch?v=PTd98UnJnnU,23383651,679239,21538,113,1.9
XxOh12Uhg08,Driving Tesla Cybertruck: Everything You Need to Know!,2023-12-01T11:00:32Z,https://youtube.com/watch?v=XxOh12Uhg08,21604901,440668,40345,2422,40.4
OFvXuyITwBI,Apple Vision Pro Impressions!,2023-06-06T06:39:07Z,https://youtube.com/watch?v=OFvXuyITwBI,18162933,530352,38679,1211,20.2
UXB9bnuyZb4,The Most Tech I've Ever Seen in a Car!,2023-05-19T17:59:11Z,https://youtube.com/watch?v=UXB9bnuyZb4,17686195,754817,7993,60,1.0
UJeSWbR6W04,Tesla Solar Roof Review: Was it Worth It??,2023-07-29T00:56:53Z,https://youtube.com/watch?v=UJeSWbR6W04,16696940,476128,28225,1827,30.4
jrzK4xL_W4Q,This is not normal,2025-11-13T14:36:14Z,https://youtube.com/watch?v=jrzK4xL_W4Q,15586469,618320,6954,59,1.0
pHhpXrIOwsY,This Monster Samsung Tablet is Awesome!,2023-07-31T13:01:10Z,https://youtube.com/watch?v=pHhpXrIOwsY,15083472,574819,7503,60,1.0
enR58PYHaWw,iPhone 15/15 Pro Impressions: Not Just USB-C!,2023-09-13T05:39:41Z,https://youtube.com/watch?v=enR58PYHaWw,14215254,358895,25229,803,13.4
idEAABFzpfg,iPhone 17/Pro/Air Impressions: Spot the Red Flags!,2025-09-10T08:04:59Z,https://youtube.com/watch?v=idEAABFzpfg,13993803,339518,21583,890,14.8
VaV0Uk8eRbk,The Cybertruck Scooter,2023-10-12T14:17:00Z,https://youtube.com/watch?v=VaV0Uk8eRbk,13369215,556584,10352,60,1.0
YWTgoUqm3tY,Electric Scooter INSIDE a Briefcase!,2023-11-20T14:27:19Z,https://youtube.com/watch?v=YWTgoUqm3tY,12949231,561412,6924,60,1.0
XaqOejIaFgM,Samsung Galaxy S24 Ultra Review: Why Buy Anything Else?,2024-01-26T21:45:43Z,https://youtube.com/watch?v=XaqOejIaFgM,12827138,302428,21847,1110,18.5
_yOTYsFlRQY,The iPhone AIR,2025-09-10T02:54:04Z,https://youtube.com/watch?v=_yOTYsFlRQY,12585103,383809,7029,53,0.9
xIFkrVU5Krk,This or the iPhone?,2025-10-15T22:19:51Z,https://youtube.com/watch?v=xIFkrVU5Krk,11691862,329207,7131,70,1.2
9lx11dy9J30,iPhone 16/Pro Impressions: The Great Separation!,2024-09-10T11:12:09Z,https://youtube.com/watch?v=9lx11dy9J30,11128711,310964,21996,974,16.2
NiNYOZZLOyg,Apple Math 🍎,2023-11-06T16:32:11Z,https://youtube.com/watch?v=NiNYOZZLOyg,11106075,497571,5667,53,0.9
XUdic3Mwd2k,This NFL Tech is Hidden in Plain Sight,2025-09-05T23:25:14Z,https://youtube.com/watch?v=XUdic3Mwd2k,10872313,449913,2696,114,1.9
cBpGq-vDr2Y,"iPhone 15 Pro Review: The Good, The Bad, & The Ugly!",2023-09-28T22:01:44Z,https://youtube.com/watch?v=cBpGq-vDr2Y,10638258,259758,18034,1482,24.7
Bq0FAsWmOys,The BENDABLE Ultrawide Monitor 👀,2023-10-07T21:56:33Z,https://youtube.com/watch?v=Bq0FAsWmOys,10582063,592076,3442,56,0.9
Cq1sQmFJBF0,The Electric VW bus is LOADED,2024-07-31T21:19:01Z,https://youtube.com/watch?v=Cq1sQmFJBF0,10255707,431587,7576,51,0.8
GAdT6gYE54U,Genius idea... Bad execution,2025-10-03T19:57:29Z,https://youtube.com/watch?v=GAdT6gYE54U,9909690,264437,2458,42,0.7
L_9CmbTTckc,THIS over a Galaxy S23?,2023-10-26T13:04:43Z,https://youtube.com/watch?v=L_9CmbTTckc,9603549,420289,4265,60,1.0
Mb6H7trzMfI,Driving Xiaomi's Electric Car: Are we Cooked?,2025-12-05T21:43:39Z,https://youtube.com/watch?v=Mb6H7trzMfI,9508746,253865,25302,1045,17.4
1KEtxTQUzxY,I Tried a Disney Secret Project!,2024-04-26T14:26:53Z,https://youtube.com/watch?v=1KEtxTQUzxY,9472840,297957,7846,693,11.6
TitZV6k8zfA,The Worst Product I've Ever Reviewed... For Now,2024-04-14T22:41:37Z,https://youtube.com/watch?v=TitZV6k8zfA,9282558,244799,19565,1504,25.1
NXpdyAWLDas,AI Generated Videos Just Changed Forever,2024-02-16T00:48:23Z,https://youtube.com/watch?v=NXpdyAWLDas,9219622,321374,23686,722,12.0
ddTV12hErTc,Rabbit R1: Barely Reviewable,2024-04-30T00:21:20Z,https://youtube.com/watch?v=ddTV12hErTc,8989025,243232,21943,1193,19.9
SaneSRqePVY,Apple Vision Pro Unboxing!,2024-01-30T14:00:32Z,https://youtube.com/watch?v=SaneSRqePVY,8854412,344400,13130,1146,19.1
z5Y9n9TBGek,If Apple Made a Camera 👀,2025-03-05T15:29:53Z,https://youtube.com/watch?v=z5Y9n9TBGek,8630501,293744,4214,60,1.0
eKVTFXQPAhs,Reviewing EVERY Samsung Galaxy S Ever!,2024-03-02T01:23:30Z,https://youtube.com/watch?v=eKVTFXQPAhs,8590026,165237,13266,2629,43.8
