video_id,title,published,url,views,likes,comments,duration_sec,duration_min
RsFOk-1meH0,$1000 RC Cars vs Boats,2025-08-03T14:18:21Z,https://youtube.com/watch?v=RsFOk-1meH0,215452141,3385974,5236,60,1.0
HRqPtBXJTSs,The SHARPEST Knife in the World!,2023-12-20T15:04:13Z,https://youtube.com/watch?v=HRqPtBXJTSs,101827126,3971203,13676,59,1.0
frUGYJvJnZk,LOUDEST Whistle In The World,2024-09-17T12:39:54Z,https://youtube.com/watch?v=frUGYJvJnZk,96251333,4052847,8048,59,1.0
tNSjkqtwwnM,5 Most Painful Alarm Clocks 😭,2025-06-05T17:05:13Z,https://youtube.com/watch?v=tNSjkqtwwnM,88033927,2325138,6064,59,1.0
gkYfm8G7lSc,The BRIGHTEST Phone Flash In The World,2024-09-07T12:09:07Z,https://youtube.com/watch?v=gkYfm8G7lSc,75470060,3540495,6568,46,0.8
ioHSADHA-Go,"$1 vs $2,500 Lightsaber",2024-01-25T17:00:39Z,https://youtube.com/watch?v=ioHSADHA-Go,74283943,2497914,6684,58,1.0
KUVWYgTHAr8,"$10 vs $1,000 Air Purifier",2025-06-13T12:17:32Z,https://youtube.com/watch?v=KUVWYgTHAr8,69870754,1713458,3026,60,1.0
XZ8Y5O_pg2E,The REAL Military Phone Case,2025-06-20T19:08:09Z,https://youtube.com/watch?v=XZ8Y5O_pg2E,50808348,901922,5456,56,0.9
5HWWv7Uz_Vs,Fastest RC Boat EVER!?,2025-07-28T11:04:24Z,https://youtube.com/watch?v=5HWWv7Uz_Vs,49377251,810622,1114,59,1.0
-OmL0SWZ30A,Fastest Remote Control Car in the WORLD,2025-03-13T15:04:06Z,https://youtube.com/watch?v=-OmL0SWZ30A,39775997,1231833,2709,60,1.0
zu4fYpQHsIE,"$1 vs $5,000 Chair!",2024-01-09T13:18:12Z,https://youtube.com/watch?v=zu4fYpQHsIE,36662850,1759980,3698,59,1.0
IOB3ilwdWpg,3 DREAM Limited Edition Phones!,2024-01-24T11:31:26Z,https://youtube.com/watch?v=IOB3ilwdWpg,33885652,1879775,4360,60,1.0
l19bOgAx5MQ,Sharpest Knife vs Smartphone!,2025-05-07T17:00:39Z,https://youtube.com/watch?v=l19bOgAx5MQ,33494115,890145,3017,51,0.8
8wM5N8u95c4,What Happens When You Photocopy Money?,2024-07-11T19:03:57Z,https://youtube.com/watch?v=8wM5N8u95c4,33003769,1613150,8864,53,0.9
7jGU0wPOKzc,Why you can’t steal from an Apple Store!,2025-07-07T13:38:24Z,https://youtube.com/watch?v=7jGU0wPOKzc,31724215,1073328,11235,47,0.8
Rn4si0Xorhc,UNREAL Optical Illusion Gadgets,2024-05-14T11:18:16Z,https://youtube.com/watch?v=Rn4si0Xorhc,26645111,1269487,2152,59,1.0
4Gh17DmQ6n8,The Most CURSED Kitchen Gadgets,2024-08-13T16:37:18Z,https://youtube.com/watch?v=4Gh17DmQ6n8,25697058,1430944,2835,60,1.0
GbyOPPXbxQI,The Smallest Microscope in the World!,2024-11-15T18:39:16Z,https://youtube.com/watch?v=GbyOPPXbxQI,24859470,961822,2951,56,0.9
b0HfmY64eSE,I bought the most FUTURISTIC Tech in the World,2023-11-25T14:18:33Z,https://youtube.com/watch?v=b0HfmY64eSE,24808279,480107,11227,2324,38.7
11OQcqP4JDc,What happens when you get 20 MILLION notifications?,2024-04-17T17:41:33Z,https://youtube.com/watch?v=11OQcqP4JDc,23851848,1547849,14851,60,1.0
ynVZ18811t4,This Ruler does WHAT!?,2023-12-10T16:55:33Z,https://youtube.com/watch?v=ynVZ18811t4,22729547,1312233,6990,41,0.7
tC5DLrR84oE,Phone cases you didn’t know you wanted,2024-04-15T09:04:24Z,https://youtube.com/watch?v=tC5DLrR84oE,21656583,1122474,3013,59,1.0
XIhLCphBhmA,Most POWERFUL Water Gun in the World!,2025-06-25T10:10:56Z,https://youtube.com/watch?v=XIhLCphBhmA,20238181,548007,1239,58,1.0
XTXBjoR7xJU,I Made My Smartphone Disappear,2024-10-01T14:50:53Z,https://youtube.com/watch?v=XTXBjoR7xJU,19622567,897845,2616,50,0.8
KQvB__6EHng,World's most expensive keyboard,2026-01-19T18:13:51Z,https://youtube.com/watch?v=KQvB__6EHng,19381417,423647,2646,48,0.8
LZYfSYXY-go,Apple’s THINNEST ever device is RIDICULOUS!,2024-01-04T15:32:23Z,https://youtube.com/watch?v=LZYfSYXY-go,18894352,852929,3815,30,0.5
Vdll3kjkAJQ,4 RAREST Phones Ever!,2024-03-01T15:22:23Z,https://youtube.com/watch?v=Vdll3kjkAJQ,18428754,1036829,1604,57,0.9
pa8bfKRgsYE,Apple's Techwoven Case vs. Knife,2025-09-19T17:04:16Z,https://youtube.com/watch?v=pa8bfKRgsYE,16400370,387374,771,56,0.9
LdlLUogNYMw,I bought the CHEAPEST Tech in India!,2024-02-25T16:03:59Z,https://youtube.com/watch?v=LdlLUogNYMw,16373362,454418,17133,2269,37.8
mISvJhV8w-w,I bought the CRAZIEST tech in Japan,2023-12-09T14:30:08Z,https://youtube.com/watch?v=mISvJhV8w-w,15289929,281704,8814,2410,40.2
neIYdLysqlk,I tested the Craziest Xiaomi Gadgets!,2024-11-13T12:04:54Z,https://youtube.com/watch?v=neIYdLysqlk,15156349,320779,11570,1673,27.9
PtgElT4pK_o,Is your phone calculator WRONG?,2024-05-27T09:01:08Z,https://youtube.com/watch?v=PtgElT4pK_o,14829628,788250,13920,55,0.9
hGYS-NCNon0,The Best Fake iPhone EVER!,2024-02-22T13:26:55Z,https://youtube.com/watch?v=hGYS-NCNon0,14779774,699295,2379,60,1.0
Fd57NOavMWs,I bought the most MINIMALIST Tech ever.,2024-05-17T16:08:21Z,https://youtube.com/watch?v=Fd57NOavMWs,13606724,259035,8835,2891,48.2
es-5WR3RKe4,I lost MILLIONS of subscribers!,2023-11-20T15:05:19Z,https://youtube.com/watch?v=es-5WR3RKe4,13554928,905556,6594,43,0.7
n2T6L9ToVwk,"$1 vs $4,000 Speaker",2024-04-05T10:21:07Z,https://youtube.com/watch?v=n2T6L9ToVwk,13405552,939335,4024,60,1.0
Ay9RL5YQViA,14 most AWKWARD Tech Fails of all time,2024-05-30T10:22:03Z,https://youtube.com/watch?v=Ay9RL5YQViA,13395568,281211,8777,1701,28.4
hTqw_CGCmNs,I bought the most EXCLUSIVE phones in the World!,2023-12-28T11:15:18Z,https://youtube.com/watch?v=hTqw_CGCmNs,13241539,286785,7386,1991,33.2
Hl7L5CI1aKE,Smartphone vs Smoke Bomb,2025-12-08T10:10:46Z,https://youtube.com/watch?v=Hl7L5CI1aKE,13165970,344348,1274,55,0.9
hsdUhFD4XW0,"$10 vs $1,000 Leafblower",2025-09-30T11:33:11Z,https://youtube.com/watch?v=hsdUhFD4XW0,12962748,347550,826,60,1.0
cZypFRdPS9M,I bought the Cheapest Tech on the internet.,2025-04-01T12:33:01Z,https://youtube.com/watch?v=cZypFRdPS9M,12691936,224531,7486,2306,38.4
2eDLFXPrMtk,What happens when you BREAK your phone?,2023-12-24T14:06:31Z,https://youtube.com/watch?v=2eDLFXPrMtk,12659875,606823,3607,33,0.6
AClfhmJYyNc,I bought the World's RAREST Tech!,2024-07-04T10:38:25Z,https://youtube.com/watch?v=AClfhmJYyNc,12159055,218644,7893,2394,39.9
quUFmlvjSHk,Level 1 vs Level 100 Lighter,2025-02-25T20:20:52Z,https://youtube.com/watch?v=quUFmlvjSHk,12065689,482523,1702,60,1.0
s2OccJMWwkM,REAL vs FAKE Tech,2025-10-09T11:17:36Z,https://youtube.com/watch?v=s2OccJMWwkM,11742910,216304,6035,1366,22.8
gsJAlLOFBv0,TINY Tech That Actually Works,2025-05-02T17:37:10Z,https://youtube.com/watch?v=gsJAlLOFBv0,11678652,300297,672,57,0.9
0jHtyF_rCqU,Xiaomi 17 Pro Max review - Apple are you seeing this!?,2025-09-26T00:00:01Z,https://youtube.com/watch?v=0jHtyF_rCqU,11615525,272964,14353,777,12.9
dQmYR90xSxw,$10 vs $400 Toaster,2024-02-15T09:29:08Z,https://youtube.com/watch?v=dQmYR90xSxw,11438207,795293,2433,58,1.0
lo4bA4p3MBQ,I bought the LAZIEST Tech ever.,2025-09-03T12:14:29Z,https://youtube.com/watch?v=lo4bA4p3MBQ,11424789,220365,6227,1268,21.1
BiZcyJPoDy0,I bought the STRONGEST Tech Ever!,2024-03-21T12:23:27Z,https://youtube.com/watch?v=BiZcyJPoDy0,11415158,233429,9263,2054,34.2
