video_id,title,published,url,views,likes,comments,duration_sec,duration_min
wKs6yPZbHwE,JBL Sent Me Something Special...,2025-05-24T23:09:29Z,https://youtube.com/watch?v=wKs6yPZbHwE,35191657,123391,261,180,3.0
sBC1FUad21U,"It’s like paper, but better – reMarkable Paper Pro",2024-09-08T16:09:17Z,https://youtube.com/watch?v=sBC1FUad21U,14012319,403819,3165,59,1.0
OIVd99A1l3c,Can Fit in Your Closet...,2025-03-13T14:39:55Z,https://youtube.com/watch?v=OIVd99A1l3c,9321804,22758,537,640,10.7
OIpzGPH0ubM,The Mercedes-Benz Laptop...(SOUND ON),2024-09-18T17:54:27Z,https://youtube.com/watch?v=OIpzGPH0ubM,7071776,276728,2540,59,1.0
kmIpv2xL1aE,Next Level POV...,2025-09-25T17:30:06Z,https://youtube.com/watch?v=kmIpv2xL1aE,5136092,39185,170,80,1.3
pX8U3bM_OSM,iPhone 17 Pro Max Early Hands On,2025-04-08T14:12:23Z,https://youtube.com/watch?v=pX8U3bM_OSM,4583832,56569,7978,582,9.7
bIxVW5Fgvew,It's Practically Invisible...,2025-01-12T17:01:02Z,https://youtube.com/watch?v=bIxVW5Fgvew,3788729,152127,968,60,1.0
Ax9a_X2uE6g,Unboxing Samsung's HUGE New 8K Flagship TV,2024-08-27T15:22:33Z,https://youtube.com/watch?v=Ax9a_X2uE6g,3735398,45459,1840,669,11.2
Goi90Zi9QwQ,The Impossibly Thin Phone Case,2024-06-10T12:14:35Z,https://youtube.com/watch?v=Goi90Zi9QwQ,3733570,53433,241,56,0.9
vDHeQ9nfDy4,Under Water Gadgets…,2025-04-18T16:34:46Z,https://youtube.com/watch?v=vDHeQ9nfDy4,3635571,11143,32,64,1.1
PCDtYIedccU,Can You Tell This Is A Budget Phone?,2025-03-21T15:10:19Z,https://youtube.com/watch?v=PCDtYIedccU,3133662,99540,1360,176,2.9
HAyxZchMYI8,LG's New UltraGear GX9 Monitor is INSANE,2025-05-10T22:36:40Z,https://youtube.com/watch?v=HAyxZchMYI8,3089648,38624,2170,602,10.0
pTlwKNkygnM,DJI Just Went Super TINY...,2024-10-08T13:01:05Z,https://youtube.com/watch?v=pTlwKNkygnM,3053877,89264,1123,60,1.0
N8X95WiooQw,Here Comes a New Challenger -- INMO AIR3,2025-10-21T16:21:49Z,https://youtube.com/watch?v=N8X95WiooQw,3024481,8566,604,493,8.2
2vNiIjd03Fo,DJI Just Launched Something Brand New... DJI Portable Power Station,2024-07-08T16:02:11Z,https://youtube.com/watch?v=2vNiIjd03Fo,3014550,62512,105,60,1.0
gZ7QHnBvxEQ,LG's New Mini Projector Their Tiniest HUGE Display...,2025-10-03T16:15:34Z,https://youtube.com/watch?v=gZ7QHnBvxEQ,2945316,17639,566,501,8.3
ZrXSC0bzgeA,The New DJI Smartphone Accessory,2025-02-18T15:35:15Z,https://youtube.com/watch?v=ZrXSC0bzgeA,2878923,23401,38,48,0.8
0iIPe9XrpcM,This is the Apple iPhone 16,2024-07-17T14:00:01Z,https://youtube.com/watch?v=0iIPe9XrpcM,2872141,37386,3123,694,11.6
F6tqro1C1WA,6 Levels of Oddly Satisfying 3D Printing...,2025-10-10T15:55:48Z,https://youtube.com/watch?v=F6tqro1C1WA,2616717,12410,62,143,2.4
K8oTYatL4Qs,Is this the Ultimate Smartphone? (Xiaomi 17 Pro Max),2025-10-27T16:20:06Z,https://youtube.com/watch?v=K8oTYatL4Qs,2311169,15142,1517,653,10.9
-xRQkXGj8CA,The New LG Mini Projector Their Tiniest HUGE Display...,2025-10-03T17:16:07Z,https://youtube.com/watch?v=-xRQkXGj8CA,2304420,11657,57,46,0.8
K9Z33jwwXfU,Which Snapdragon Laptop Will You Choose?,2024-09-25T17:24:48Z,https://youtube.com/watch?v=K9Z33jwwXfU,2277457,24966,235,39,0.7
ddyMuc6AhgY,My New Robot Companion... Part 1,2024-06-20T18:53:36Z,https://youtube.com/watch?v=ddyMuc6AhgY,2258506,47240,138,58,1.0
EJLcVM4YqHM,The new meaning of Turbo... ⚡,2024-07-14T15:46:23Z,https://youtube.com/watch?v=EJLcVM4YqHM,2243285,65065,686,60,1.0
rpdgneBBU8c,LG's New UltraGear GX9 Monitor is INSANE,2025-05-11T23:45:58Z,https://youtube.com/watch?v=rpdgneBBU8c,2125183,27389,244,43,0.7
dWAkie-FO38,JBL Sent Me Something Special...,2025-05-22T14:28:37Z,https://youtube.com/watch?v=dWAkie-FO38,2117716,20770,336,726,12.1
